Name,Region,Meal_Type,Diet_Type,Calories,Protein,Carbs,Fats
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,182,6,43,2
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,338,19,35,12
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,257,3,59,1
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,260,4,36,8
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,558,29,58,20
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,564,13,74,23
Luchi with Alur Dom,East India,Breakfast,Weight Gain,512,7,58,24
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,508,11,62,19
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,437,10,62,17
Mutton Korma with Roti,North India,Dinner,Weight Gain,514,30,42,25
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,458,10,64,19
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,391,18,31,13
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,374,22,38,7
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,254,26,6,11
Fish Curry with White Rice,South India,Lunch,Weight Gain,581,31,64,18
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,373,33,23,19
Oats Pongal,South India,Breakfast,Weight Loss,254,6,33,6
Dalma with Rice,East India,Lunch,Balanced,411,15,58,9
Shrikhand Puri,West India,Breakfast,Weight Gain,606,10,69,21
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,232,12,22,5
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,191,6,37,2
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,608,12,68,19
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,388,43,10,25
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,312,41,16,14
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,372,26,1,18
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,167,8,23,2
Fish Fry with Rice and Dal,East India,Dinner,Balanced,447,28,51,14
Mutton Kolhapuri with Rice,West India,Lunch,Weight Gain,699,34,54,27
Dalma with Rice,East India,Lunch,Balanced,425,14,67,10
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,382,44,16,14
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,361,11,65,8
Curd Rice with Pickle,South India,Dinner,Balanced,330,8,56,7
Moong Dal Khichdi,East India,Breakfast,Weight Loss,258,10,38,5
Chicken Sukka with Naan,West India,Lunch,Weight Gain,693,33,53,26
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,137,8,25,2
Kanda Poha,West India,Breakfast,Weight Loss,253,5,45,6
Kanda Poha,West India,Breakfast,Weight Loss,260,5,45,5
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,203,5,42,1
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,421,10,58,15
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,247,7,42,5
Thepla with Curd,West India,Breakfast,Balanced,325,10,44,11
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,415,33,43,4
Vegetable Dalma,East India,Lunch,Weight Loss,321,11,46,6
Masala Dosa with Sambar and Chutney,South India,Breakfast,Weight Gain,456,9,71,17
Kachumber Salad with Varan Bhath,West India,Dinner,Balanced,350,10,60,9
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,238,8,39,10
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,332,10,47,9
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,399,11,60,9
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,246,7,41,7
Idli with Sambar,South India,Dinner,Weight Loss,185,7,36,3
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,209,8,23,6
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,121,2,21,1
Chicken Sukka with Naan,West India,Lunch,Weight Gain,684,38,59,23
Crab Masala with Rice,South India,Dinner,Weight Gain,622,33,51,21
Macher Jhol with Rice and Papadam,East India,Dinner,Weight Gain,515,30,62,16
Kanda Poha,West India,Breakfast,Weight Loss,233,6,42,6
Egg Biryani,East India,Lunch,Weight Gain,604,25,62,22
Vegetable Poha,North India,Breakfast,Weight Loss,186,5,40,4
Khichuri with Ghee and Begun Bhaja,East India,Breakfast,Weight Gain,474,12,56,15
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,160,1,35,1
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,246,8,42,6
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,262,15,33,11
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,545,14,52,20
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,354,29,12,20
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,216,12,24,5
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,454,43,45,12
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,611,12,71,21
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,594,24,59,18
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,335,8,48,7
Mutton Biryani,North India,Lunch,Weight Gain,633,39,64,29
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,404,41,26,13
Chicken Biryani,North India,Dinner,Weight Gain,611,38,72,20
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,154,7,22,1
Misal Pav with Butter,West India,Breakfast,Weight Gain,552,15,62,21
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,632,30,62,19
Brown Rice with Rajma,North India,Lunch,Weight Loss,346,14,55,6
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,390,22,41,7
Tomato Shorba with Roti,East India,Dinner,Weight Loss,225,5,30,4
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,231,7,37,9
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,453,53,36,11
Curd Rice with Pickle,South India,Dinner,Balanced,362,9,57,8
Sprouts Chaat,North India,Breakfast,Weight Loss,186,9,26,2
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,669,41,64,30
Dal Dhokli,West India,Lunch,Balanced,433,13,68,10
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,670,35,69,29
Chicken Biryani,North India,Dinner,Weight Gain,690,39,61,23
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,315,11,56,6
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,585,12,70,22
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,305,8,37,8
Dal Shorba with Roti,North India,Dinner,Weight Loss,225,11,35,5
Moong Dal Khichdi,East India,Breakfast,Weight Loss,222,9,41,4
Idli with Sambar,South India,Dinner,Weight Loss,178,7,39,2
Rice with Mutton Kosha,East India,Lunch,Weight Gain,832,38,79,29
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,335,38,44,5
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,231,3,59,1
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,83,1,23,1
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,546,12,54,23
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,440,11,60,20
Vegetable Poha,North India,Breakfast,Weight Loss,211,5,37,4
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,141,3,23,2
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,422,32,26,16
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,328,21,44,8
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,530,15,55,21
Fish Recheado with Rice,West India,Dinner,Weight Gain,647,29,61,19
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,378,20,45,8
Aamras with Puri,West India,Breakfast,Weight Gain,494,8,80,20
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,236,10,28,6
Rajma Chawal,North India,Lunch,Balanced,408,15,69,10
Rava Idli with Chutney,South India,Breakfast,Weight Gain,401,8,56,14
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,269,15,33,11
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,699,36,62,28
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,743,42,62,25
Pongal with Medu Vada and Filter Coffee,South India,Breakfast,Weight Gain,536,14,54,20
Thekua with Masala Chai,East India,Breakfast,Balanced,292,5,44,10
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,181,9,31,3
Dal Shorba with Roti,North India,Dinner,Weight Loss,199,10,33,4
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,386,34,20,16
Sprouted Matki Usal,West India,Breakfast,Weight Loss,191,9,28,3
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,661,34,60,29
Upma with Vegetables,North India,Breakfast,Weight Loss,198,6,34,5
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,399,41,26,12
Sprouted Matki Usal,West India,Breakfast,Weight Loss,209,11,29,4
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,336,17,29,13
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,487,15,60,10
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,502,35,55,15
Mutton Biryani,North India,Lunch,Weight Gain,720,40,76,28
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,460,40,49,11
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,527,29,64,16
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,356,46,11,25
Moong Dal Khichdi,East India,Breakfast,Weight Loss,268,9,39,4
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,256,3,56,1
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,264,8,39,8
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,216,15,28,6
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,272,16,9,11
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,264,14,31,13
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,132,2,21,2
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,201,7,24,5
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,584,11,67,18
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,441,40,25,13
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,298,8,48,6
Papaya and Chia Seeds Bowl,Pan India,Breakfast,Health & Wellness,189,4,34,4
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,268,8,40,6
Bisi Bele Bath,South India,Lunch,Balanced,463,12,65,12
Millet Sambar Rice,South India,Lunch,Weight Loss,347,11,59,7
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,376,41,14,15
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,292,10,36,7
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,188,8,29,2
Lemon Rice with Curd,South India,Dinner,Balanced,359,8,57,9
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,305,8,45,8
Thepla with Curd,West India,Breakfast,Balanced,291,10,46,11
Kadhi Pakora with Rice,North India,Dinner,Balanced,376,11,63,15
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,772,37,75,29
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,258,9,44,7
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,407,36,47,5
Brown Rice with Rajma,North India,Lunch,Weight Loss,381,14,59,7
Thekua with Masala Chai,East India,Breakfast,Balanced,252,6,45,9
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,184,8,21,6
Kootu with Brown Rice,South India,Lunch,Weight Loss,298,9,54,5
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,210,8,24,6
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,243,7,39,4
Aamras with Puri,West India,Breakfast,Weight Gain,614,7,74,15
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,379,33,20,16
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,138,8,26,1
Gujarati Thali,West India,Lunch,Weight Gain,725,18,106,22
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,196,12,30,7
Puri Bhaji,North India,Breakfast,Weight Gain,512,9,56,22
Aamras with Puri,West India,Breakfast,Weight Gain,582,7,75,18
Egg Curry with Rice,South India,Dinner,Weight Gain,540,31,62,21
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,443,18,48,19
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,384,36,46,4
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,262,8,44,7
Dal Shorba with Roti,North India,Dinner,Weight Loss,200,9,29,5
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,691,37,66,28
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,185,8,22,6
Rice with Mutton Kosha,East India,Lunch,Weight Gain,766,33,79,31
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,176,11,16,7
Lemon Rice with Curd,South India,Dinner,Balanced,388,8,68,8
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,670,33,71,21
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,420,37,19,19
Crab Masala with Rice,South India,Dinner,Weight Gain,609,38,60,24
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,291,15,45,7
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,183,7,27,6
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,660,38,72,30
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,85,1,21,1
Puran Poli with Amti,West India,Lunch,Balanced,473,12,65,14
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,535,47,11,25
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,313,33,2,21
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,376,13,46,7
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,594,34,66,30
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,271,8,47,7
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,274,15,45,4
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,206,2,40,1
White Rice with Chicken Chettinad and Curd,South India,Lunch,Weight Gain,602,34,65,25
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,379,10,52,9
Upma with Vegetables,North India,Breakfast,Weight Loss,185,5,36,4
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,308,15,44,8
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,283,8,39,7
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,521,49,42,11
